"location_name","year","gdp_pc","pct_change_gni"
"Djibouti",2081,11955.389900668,1.73731524230096
"Djibouti",2082,12196.9047972038,1.73731524230097
"Djibouti",2083,12443.2986182861,1.73731524230095
"Djibouti",2084,12694.6699247286,1.73731524230097
"Djibouti",2085,12951.1192684054,1.73731524230112
"Djibouti",2086,13212.7492324736,1.73731524230096
"Djibouti",2087,13479.664472407,1.73731524230097
"Djibouti",2088,13751.9717578607,1.73731524230096
"Djibouti",2089,14029.7800153796,1.73731524230113
"Djibouti",2090,14313.2003719709,NA
"Eastern Africa",2019,1005.94795773776,-2.53043643137247
"Eastern Africa",2020,976.349267501428,1.25290257241818
"Eastern Africa",2021,990.573343185511,2.97534129997759
"Eastern Africa",2022,1024.84420107664,3.00271061258122
"Eastern Africa",2023,1060.62688199309,3.02666462380997
"Eastern Africa",2024,1097.95434551391,3.04828352339154
"Eastern Africa",2025,1136.87150994259,1.63600832676752
"Eastern Africa",2026,1158.49861757899,1.63703852406491
"Eastern Africa",2027,1180.55102300984,1.63838173057153
"Eastern Africa",2028,1203.04164194131,1.64029348274633
"Eastern Africa",2029,1225.98747176397,1.64244972303977
"Eastern Africa",2030,1249.40169017617,1.64461399606268
"Eastern Africa",2031,1273.29452164557,1.64639830878253
"Eastern Africa",2032,1297.67068382021,1.64794412639751
"Eastern Africa",2033,1322.53683244114,1.64893839312604
"Eastern Africa",2034,1347.89475987527,1.64971777355363
"Eastern Africa",2035,1373.75110804092,1.65033596073086
"Eastern Africa",2036,1400.11332728155,1.65098081244254
"Eastern Africa",2037,1426.99193470698,1.65164432043106
"Eastern Africa",2038,1454.39755243093,1.65231464511752
"Eastern Africa",2039,1482.34083586935,1.65302492636288
"Eastern Africa",2040,1510.83323530026,1.65369958026594
"Eastern Africa",2041,1539.885145615,1.65439843144125
"Eastern Africa",2042,1569.50821037669,1.65511236661335
"Eastern Africa",2043,1599.71416908012,1.65587835121848
"Eastern Africa",2044,1630.51570466986,1.65672998399883
"Eastern Africa",2045,1661.92645184785,1.65752657868315
"Eastern Africa",2046,1693.95769912407,1.6584472487203
"Eastern Africa",2047,1726.62443732826,1.65933503792505
"Eastern Africa",2048,1759.93895391194,1.66039016985741
"Eastern Africa",2049,1793.91785319827,1.66147991586507
"Eastern Africa",2050,1828.57550998666,1.66262309456057
"Eastern Africa",2051,1863.92704339423,1.66371842063125
"Eastern Africa",2052,1899.98576149665,1.66474665916663
"Eastern Africa",2053,1936.76477253055,1.66572042095662
"Eastern Africa",2054,1974.27766360257,1.66659008894285
"Eastern Africa",2055,2012.53710066049,1.66747043632855
"Eastern Africa",2056,2051.55856714149,1.66833592008525
"Eastern Africa",2057,2091.35727469638,1.6692118557958
"Eastern Africa",2058,2131.94934862229,1.67008976073828
"Eastern Africa",2059,2173.35105533795,1.67100813367487
"Eastern Africa",2060,2215.579977324,1.67187455909837
"Eastern Africa",2061,2258.65174241395,1.67277681481694
"Eastern Africa",2062,2302.58453622158,1.67352804945697
"Eastern Africa",2063,2347.39197584498,1.67420956295745
"Eastern Africa",2064,2393.08995368183,1.67484399163599
"Eastern Africa",2065,2439.69521333728,1.67545456596404
"Eastern Africa",2066,2487.2254282762,1.67607721239783
"Eastern Africa",2067,2535.69963597887,1.67670767873153
"Eastern Africa",2068,2585.13715982309,1.67736872495612
"Eastern Africa",2069,2635.55841821389,1.67807765919725
"Eastern Africa",2070,2686.98483334312,1.67875476944502
"Eastern Africa",2071,2739.43586362686,1.67944202016657
"Eastern Africa",2072,2792.93265084693,1.68016227192716
"Eastern Africa",2073,2847.4975353584,1.68089476903795
"Eastern Africa",2074,2903.15269480064,1.68165793280655
"Eastern Africa",2075,2959.92141293273,1.68243477865547
"Eastern Africa",2076,3017.82693301651,1.68318351181196
"Eastern Africa",2077,3076.89154389041,1.6839465671
